Amount,AmountIncludingVAT,Description,DocumentNo,BilltoCustomerNo,Quantity,PostingDate,LocationCode,GSTAssessableValueLCY,InvDiscountAmount,ItemCategoryCode,no,billToName,billToCity,state
1451520.0,1451520.0,SOLAR PANEL 540 WP MONO HALF CUT NON DCR,SINV25-04507,C000106,224.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04507,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04048:,SINV25-04508,,0.0,2026-02-17,,0,0,,SINV25-04508,OSWAL PUMPS LIMITED,KUTAIL,HR
90720.0,90720.0,SOLAR PANEL 540 WP MONO HALF CUT NON DCR,SINV25-04508,C000106,14.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04508,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04052:,SINV25-04509,,0.0,2026-02-17,,0,0,,SINV25-04509,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04509,C000106,224.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04509,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04053:,SINV25-04510,,0.0,2026-02-17,,0,0,,SINV25-04510,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04510,C000106,224.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04510,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04054:,SINV25-04511,,0.0,2026-02-17,,0,0,,SINV25-04511,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04511,C000106,224.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04511,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04055:,SINV25-04512,,0.0,2026-02-17,,0,0,,SINV25-04512,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04512,C000106,224.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04512,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04051:,SINV25-04513,,0.0,2026-02-17,FG,0,0,,SINV25-04513,BANYAL SOLAR SOLUTIONS,LOHARWIN,HP
1832600.0,1832600.0,SOLAR PANEL 550 WP MONO HALF CUT NON DCR BIFACIAL GLASS TO BACK SHEET,SINV25-04513,C000420,280.0,2026-02-17,FG,0,0,FG-SOLAR PANEL TB,SINV25-04513,BANYAL SOLAR SOLUTIONS,LOHARWIN,HP
0.0,0.0,Shipment No. DS25-04049:,SINV25-04514,,0.0,2026-02-17,FG,0,0,,SINV25-04514,R.M. SOLAR POWER,HOSIARPUR,PB
1832600.0,1832600.0,SOLAR PANEL 550 WP MONO HALF CUT NON DCR BIFACIAL GLASS TO BACK SHEET,SINV25-04514,C000561,280.0,2026-02-17,FG,0,0,FG-SOLAR PANEL TB,SINV25-04514,R.M. SOLAR POWER,HOSIARPUR,PB
0.0,0.0,Shipment No. DS25-04050:,SINV25-04515,,0.0,2026-02-17,FG,0,0,,SINV25-04515,R.M. SOLAR POWER,HOSIARPUR,PB
1832600.0,1832600.0,SOLAR PANEL 550 WP MONO HALF CUT NON DCR BIFACIAL GLASS TO BACK SHEET,SINV25-04515,C000561,280.0,2026-02-17,FG,0,0,FG-SOLAR PANEL TB,SINV25-04515,R.M. SOLAR POWER,HOSIARPUR,PB
0.0,0.0,Shipment No. DS25-04056:,SINV25-04516,,0.0,2026-02-17,,0,0,,SINV25-04516,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04516,C000106,224.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04516,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04057:,SINV25-04517,,0.0,2026-02-17,,0,0,,SINV25-04517,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04517,C000106,224.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04517,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04058:,SINV25-04518,,0.0,2026-02-17,,0,0,,SINV25-04518,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04518,C000106,224.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04518,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04059:,SINV25-04519,,0.0,2026-02-17,,0,0,,SINV25-04519,OSWAL PUMPS LIMITED,KUTAIL,HR
1397760.0,1397760.0,SOLAR PANEL 520 WP MONO HALF CUT NON DCR,SINV25-04519,C000106,224.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04519,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04060:,SINV25-04520,,0.0,2026-02-17,,0,0,,SINV25-04520,OSWAL PUMPS LIMITED,KUTAIL,HR
561600.0,561600.0,SOLAR PANEL 520 WP MONO HALF CUT NON DCR,SINV25-04520,C000106,90.0,2026-02-17,FG,0,0,FG-SOLAR PANEL WB,SINV25-04520,OSWAL PUMPS LIMITED,KUTAIL,HR
38250.0,38250.0,WOODEN SCRAP,SINV25-04521,C000514,5100.0,2026-02-18,SCRAP,0,0,SCRAP,SINV25-04521,SIMRAN TRADING COMPANY,YAMUNANAGAR,HR
0.0,0.0,Shipment No. DS25-04061:,SINV25-04522,,0.0,2026-02-18,,0,0,,SINV25-04522,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04522,C000106,224.0,2026-02-18,FG,0,0,FG-SOLAR PANEL WB,SINV25-04522,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04062:,SINV25-04523,,0.0,2026-02-18,,0,0,,SINV25-04523,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04523,C000106,224.0,2026-02-18,FG,0,0,FG-SOLAR PANEL WB,SINV25-04523,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04063:,SINV25-04524,,0.0,2026-02-18,,0,0,,SINV25-04524,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04524,C000106,224.0,2026-02-18,FG,0,0,FG-SOLAR PANEL WB,SINV25-04524,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04064:,SINV25-04525,,0.0,2026-02-18,,0,0,,SINV25-04525,OSWAL PUMPS LIMITED,KUTAIL,HR
2562560.0,2562560.0,SOLAR PANEL 520 WP MONO HALF CUT DCR,SINV25-04525,C000106,224.0,2026-02-18,FG,0,0,FG-SOLAR PANEL WB,SINV25-04525,OSWAL PUMPS LIMITED,KUTAIL,HR
