no,billToName,billToCity,state
SINV25-00227,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00228,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00229,RAJDEEP ECO CARE,LADWA,HR
SINV25-00230,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00231,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00232,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00233,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00234,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00235,B.S.A. TRADERS,SIRSA,HR
SINV25-00236,RAJDEEP ECO CARE,LADWA,HR
SINV25-00237,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00238,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00239,SIDHU COMPUTER CARE,MALOUT,PB
SINV25-00240,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00241,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00242,SMARTEN POWER SYSTEMS LIMITED,GURGAON,HR
SINV25-00243,TANYA ENTERPRISES,DELHI,DL
SINV25-00244,FBI MULTI VENTURES,CHADOORA,JK
SINV25-00245,CHANDIGARH ENERGY PVT LTD,CHANDIGARH,CH
SINV25-00246,AGGARWAL MACHINARY STORE,SARDULGARH,PB
SINV25-00247,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00248,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00249,RAJDEEP ECO CARE,LADWA,HR
SINV25-00250,CHANDIGARH ENERGY PVT LTD,CHANDIGARH,CH
SINV25-00251,CHANDIGARH ENERGY PVT LTD,CHANDIGARH,CH
SINV25-00252,AMPRER RECYCLING PRIVATE LIMITED,BENGALURU,KA
SINV25-00253,D S ENTERPRISES,AMRITSAR,PB
SINV25-00254,FRIENDS SOLAR SOLUTION,PANIPAT,HR
SINV25-00255,SUNRISE AGRO,KUSHINAGAR,UP
SINV25-00256,TANYA ENTERPRISES,DELHI,DL
SINV25-00257,PAWAN AGENCY,CHHATARPUR,MP
SINV25-00258,BUNDELKHAND SALES & SERVICE LLP,JHANSI,UP
